ENSG	RNA rpkm.human	Protein ibaq.human	RNA rpkm.chimp	Protein ibaq.chimp
ENSG00000101557	23.1231	4401166.40878636	35.4455	3000334.09205823
ENSG00000100220	27.351	4394739.18350948	48.5928	6480457.84710034
ENSG00000078668	19.5526	4379278.80854701	18.1378	3873758.74277072
ENSG00000214753	0.0733863	4358104.83845086	0.135073	3711400.20920268
ENSG00000171530	19.3647	4357745.29493448	0.364192	3865629.86220527
ENSG00000088986	0.802644	4326282.50014815	0.476443	3966184.50736562
ENSG00000122545	6.50518	4319033.46649291	3.04761	3704719.5587923
ENSG00000108344	43.9337	4313224.42703851	49.0997	4575214.76194457
ENSG00000153037	8.8303	4298254.85895943	10.715	2524773.40157979
ENSG00000130175	71.3721	4296832.42997148	82.4163	4874280.8897902
ENSG00000119318	51.3807	4282188.64999421	47.8609	3712312.39002651
ENSG00000124207	28.8435	4262837.15595991	29.5485	3706855.79242784
ENSG00000082898	46.7358	4231099.73842177	64.3889	4471974.01869075
ENSG00000104823	58.6263	4223117.25820619	17.7733	417367.331494024
ENSG00000055044	35.7881	4188822.06923815	33.9175	2830420.96149509
ENSG00000141959	49.4206	4181987.83797177	28.7572	3222037.83406274
ENSG00000110700	286.862	4172557.83883052	236.637	10380632.1819317
ENSG00000124357	10.4412	4145567.76483968	9.37955	1067541.69359271
ENSG00000100442	32.9577	4140656.86390629	28.1238	3908373.17658451
ENSG00000073111	28.6444	4140494.70919736	32.0554	2785406.53408934
ENSG00000138430	16.6492	4136743.7267436	17.3401	4222261.06521465
ENSG00000143621	40.7931	4111592.85564635	53.4906	4561520.33548941
ENSG00000145741	241.485	4103760.60461849	27.4896	5223343.24769342
ENSG00000008988	208.536	4091432.50545123	11.4568	8270517.63367624
ENSG00000140374	74.5522	4081097.47248813	83.2662	3397189.54464954
ENSG00000164466	7.78331	4070397.42488405	15.5521	4483565.43878935
ENSG00000075239	18.8206	4067587.53754835	25.5773	2834705.33912633
ENSG00000125656	26.8815	4055394.34170871	22.8352	2722109.34236475
ENSG00000106682	4.9842	4052233.78852411	38.2443	4821263.53141031
ENSG00000120802	32.1276	4034641.11604524	28.9706	3230522.06699273
ENSG00000136238	48.0631	4006263.09470495	81.6012	5723612.81483157
ENSG00000131876	16.2889	4003310.89727221	6.42448	3736475.27484498
ENSG00000216490	338.22	3994746.5404845	181.602	3318965.04733946
ENSG00000089280	127.864	3993004.89312732	93.1789	4985617.21236986
ENSG00000074695	41.488	3991633.60675124	53.1502	1431202.07317822
ENSG00000167986	14.4207	3988734.47974844	29.7995	3221672.92717941
ENSG00000110367	5.07753	3983756.8518279	16.5494	4262299.27737413
ENSG00000156467	20.9333	3974970.47897038	24.055	2940013.92572941
ENSG00000149428	19.037	3968028.25301861	61.2448	6128272.0905369
ENSG00000131795	24.931	3958147.70639389	31.8713	3480369.80927822
ENSG00000103187	330.666	3949148.75830991	160.713	3832620.64591673
ENSG00000065150	31.8145	3867452.699377	17.9524	3401819.07347092
ENSG00000143321	0.677788	3860649.10693595	1.8891	3644218.04627187
ENSG00000167004	11.7296	3855528.63722237	14.4458	3875990.88060518
ENSG00000249915	77.0104	3854769.94139891	64.0851	3101946.05292678
ENSG00000126267	241.104	3848930.21323864	165.677	3621452.31996132
ENSG00000113648	25.3597	3844975.54300659	27.246	2854949.59957504
ENSG00000113522	18.2935	3843333.75559114	23.4008	3184826.74929524
ENSG00000065427	70.1557	3821006.08131381	83.8246	3460905.96864197
ENSG00000174748	134.301	3815839.79741983	231.945	3342435.31376274
ENSG00000187735	4.644	3809512.62517059	24.6952	2937702.22289479
ENSG00000213719	111.975	3806621.16587084	143.955	2966345.94834214
ENSG00000106211	43.6877	3804268.69035695	30.9243	1926540.40708836
ENSG00000185627	55.7108	3771673.59362582	57.5962	2810650.0666209
ENSG00000096746	38.9004	3726940.76943908	40.6467	4089446.62200733
ENSG00000165916	18.5328	3717737.6902794	18.4302	4269622.35000699
ENSG00000107581	42.8816	3715632.46633279	89.1973	3796390.26511627
ENSG00000100632	173.692	3699501.4257353	96.9102	3388726.55562297
ENSG00000176619	33.7558	3695902.30780419	44.6285	3970313.57447761
ENSG00000082212	30.6777	3693164.80481027	48.3344	2092549.21271101
